Team,S,Kills,Errors,Total Attacks,Pct.,Kills_KPS,Per Set_KPS,Assists,Per Set_APS,Block Solos,Block Assists,Per Set_BPS,Opp Kills,Opp Errors,Opp Attacks,Opp Pct,W,L,Pct._WLP
South Carolina St.,94,826,470,2826,0.126,826,8.79,770,8.19,82,150,1.67,1165,483,2986,0.228,5,23,0.179
UNCW,93,928,536,3124,0.125,928,9.98,835,8.98,54,256,1.96,1188,476,3109,0.229,5,21,0.192
Oral Roberts,95,1040,645,3214,0.123,1040,10.95,983,10.35,21,184,1.19,1174,389,3025,0.26,3,25,0.107
UT Martin,107,1126,679,3795,0.118,1126,10.52,1046,9.78,46,324,1.94,1389,568,3712,0.221,4,25,0.138
The Citadel,88,885,540,3058,0.113,885,10.06,840,9.55,56,132,1.39,1200,375,2991,0.276,0,27,0
Northwestern St.,97,897,571,3064,0.106,897,9.25,831,8.57,27,269,1.66,1287,442,3003,0.281,1,29,0.033
Tennessee St.,104,958,605,3334,0.106,958,9.21,881,8.47,53,186,1.4,1407,442,3415,0.283,1,30,0.032
Chicago St.,90,735,456,2748,0.102,735,8.17,679,7.54,60,286,2.26,1269,475,3099,0.256,1,25,0.038
Hampton,87,729,473,2551,0.1,729,8.38,678,7.79,41,126,1.2,1201,371,2648,0.313,1,26,0.037
Mississippi Val.,78,712,482,2378,0.097,712,9.13,649,8.32,24,167,1.38,975,372,2415,0.25,4,20,0.167
Ark.-Pine Bluff,94,851,568,2956,0.096,851,9.05,769,8.18,47,112,1.1,1253,383,2970,0.293,1,28,0.034
Alcorn,94,783,557,2882,0.078,783,8.33,708,7.53,41,140,1.18,1143,420,2983,0.242,3,26,0.103
